Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,AVD-LEAF1A,Ethernet1,mlag_peer,AVD-LEAF1B,Ethernet1
l3leaf,AVD-LEAF1A,Ethernet2,mlag_peer,AVD-LEAF1B,Ethernet2
l3leaf,AVD-LEAF1A,Ethernet3,spine,AVD-SPINE1,Ethernet2
l3leaf,AVD-LEAF1A,Ethernet4,spine,AVD-SPINE2,Ethernet2
l3leaf,AVD-LEAF1A,Ethernet11,server,server01,Ethernet1
l3leaf,AVD-LEAF1A,Ethernet12,server,server02,Ethernet2
l3leaf,AVD-LEAF1B,Ethernet1,mlag_peer,AVD-LEAF1A,Ethernet1
l3leaf,AVD-LEAF1B,Ethernet2,mlag_peer,AVD-LEAF1A,Ethernet2
l3leaf,AVD-LEAF1B,Ethernet3,spine,AVD-SPINE1,Ethernet3
l3leaf,AVD-LEAF1B,Ethernet4,spine,AVD-SPINE2,Ethernet3
l3leaf,AVD-LEAF1B,Ethernet11,server,server01,Ethernet2
l3leaf,AVD-LEAF1B,Ethernet12,server,server02,Ethernet1
l3leaf,AVD-LEAF2A,Ethernet1,mlag_peer,AVD-LEAF2B,Ethernet1
l3leaf,AVD-LEAF2A,Ethernet2,mlag_peer,AVD-LEAF2B,Ethernet2
l3leaf,AVD-LEAF2A,Ethernet3,spine,AVD-SPINE1,Ethernet4
l3leaf,AVD-LEAF2A,Ethernet4,spine,AVD-SPINE2,Ethernet4
l3leaf,AVD-LEAF2B,Ethernet1,mlag_peer,AVD-LEAF2A,Ethernet1
l3leaf,AVD-LEAF2B,Ethernet2,mlag_peer,AVD-LEAF2A,Ethernet2
l3leaf,AVD-LEAF2B,Ethernet3,spine,AVD-SPINE1,Ethernet5
l3leaf,AVD-LEAF2B,Ethernet4,spine,AVD-SPINE2,Ethernet5
spine,AVD-SPINE1,Ethernet2,l3leaf,AVD-LEAF1A,Ethernet3
spine,AVD-SPINE1,Ethernet3,l3leaf,AVD-LEAF1B,Ethernet3
spine,AVD-SPINE1,Ethernet4,l3leaf,AVD-LEAF2A,Ethernet3
spine,AVD-SPINE1,Ethernet5,l3leaf,AVD-LEAF2B,Ethernet3
spine,AVD-SPINE2,Ethernet2,l3leaf,AVD-LEAF1A,Ethernet4
spine,AVD-SPINE2,Ethernet3,l3leaf,AVD-LEAF1B,Ethernet4
spine,AVD-SPINE2,Ethernet4,l3leaf,AVD-LEAF2A,Ethernet4
spine,AVD-SPINE2,Ethernet5,l3leaf,AVD-LEAF2B,Ethernet4
